Module name,Module type,Ports,5G/LTE,Voice,Supported router models,Layman description,Notes,Datasheet
P-LTEA-EA,PIM,No Ports,Yes,No,"C8200, C8300, C8355-G2, C8375-E-G2, ISR1000",4G LTE Advanced PIM for Europe and North America,Antenna connectors only,cisco.com/site/us/en/products/networking/sdwan-routers/catalyst-8300-series-platforms/interfaces-modules/index.html
P-LTEA7-EAL,PIM,No Ports,Yes,No,"C8151-G2, C8161-G2",CAT7 LTE Advanced Pluggable for North America/Europe,Antenna connectors only,cisco.com/c/en/us/solutions/collateral/enterprise-networks/4g-lte-solutions/datasheet-c78-743503.html
P-LTEA7-JP,PIM,No Ports,Yes,No,"C8151-G2, C8161-G2",CAT7 LTE Advanced Pluggable for Japan,Supported only on specific G2 secure routers,cisco.com/c/en/us/solutions/collateral/enterprise-networks/4g-lte-solutions/datasheet-c78-743503.html
LTE Pluggable,PIM,No Ports,Yes,No,"C1101, C1109, C1121, C1126, C1127, C1161",Pluggable LTE module for ISR 1000 series,Various CAT models available,cisco.com/c/en/us/products/collateral/routers/1000-series-integrated-services-routers-isr/1kseries-integrated-services-routers-guide.html
C-SM-16P4M2X,SM,"16x 1GbE, 4x 2.5GbE mGig, 2x 10GbE",No,No,"C8300, C8355-G2, C8375-E-G2",22-port Catalyst L2 switch module with UADP ASIC,Single-wide module with PoE,cisco.com/c/en/us/products/collateral/routers/catalyst-8300-series-edge-platforms/catalyst-8000-sm-switch-module-ds.html
C-SM-40P8M2X,SM,"40x 1GbE, 8x 2.5GbE mGig, 2x 10GbE",No,No,"C8300, C8355-G2, C8375-E-G2",50-port Catalyst L2 switch module with UADP ASIC,Double-wide module with PoE,cisco.com/c/en/us/products/collateral/routers/catalyst-8300-series-edge-platforms/catalyst-8000-sm-switch-module-ds.html
UCS-E Series,SM,Virtualized,No,No,C8300,UCS E-Series Server Blades,Allows for local compute/VNF hosting,cisco.com/site/us/en/products/networking/sdwan-routers/catalyst-8300-series-platforms/interfaces-modules/index.html
C-NIM-8M,NIM,8x 2.5GbE RJ45,No,No,"C8200, C8300, C8355-G2, C8375-E-G2",8-port 2.5G RJ45 Layer 2/3 LAN/WAN Switch NIM,Supports UPOE,cisco.com/c/en/us/products/collateral/routers/catalyst-8300-series-edge-platforms/catalyst-8000-series-gigabit-ethernet-lan-wan-modules-ds.html
C-NIM-4X,NIM,4x 1GbE/10GbE SFP+,No,No,"C8200, C8300, C8355-G2, C8375-E-G2",4-port 1/10G SFP+ Layer 2/3 LAN/WAN Switch NIM,Supports MACsec,cisco.com/c/en/us/products/collateral/routers/catalyst-8300-series-edge-platforms/catalyst-8000-series-gigabit-ethernet-lan-wan-modules-ds.html
C-NIM-8T,NIM,8x 1GbE RJ45,No,No,"C8200, C8300, C8355-G2, C8375-E-G2",8-port 1G RJ45 Layer 2/3 LAN/WAN Switch NIM,Supports MACsec,cisco.com/c/en/us/products/collateral/routers/catalyst-8300-series-edge-platforms/catalyst-8000-series-gigabit-ethernet-lan-wan-modules-ds.html
