Card Type,Card Model,Detail,Compatible Chassis,Compatible Model,Ports,Port Speed,Notes
Line Card,N9K-X9836E-SP2R-O,N9800 36-port 800G Line Card,Nexus 9800,All,36 OSFP,800G,
Line Card,N9K-X9836DM-A,N9800 36-port 400G Line Card,Nexus 9800,All,36 QSFP-DD,400G,
Line Card,N9K-X98900CD-A,N9800 34-port 100G + 14-port 400G Line Card,Nexus 9800,All,"14 QSFP-DD, 34 QSFP28","400G, 100G",
Supervisor,N9K-C9800-SUP-A,Cisco N9800 supervisor (1st Generation),Nexus 9800,All,,,
Supervisor,N9K-C9800-SUP-B,Cisco N9800 supervisor (2nd Generation),Nexus 9800,All,,,
Fabric,N9K-C9808-FM-A,Cisco N9800 8-slot chassis fabric module,Nexus 9800,All,,,
Fabric,N9K-C9808-FM-B,Cisco N9800 8-slot chassis fabric module (2nd Generation),Nexus 9800,All,,,
Line Card,N9K-X9716D-GX,16-port 400-Gigabit Ethernet Quad Small Form-Factor Pluggable Double Density (QSFP-DD) line card,Nexus 9500,"N9K-C9504, N9K-C9508",16 QSFP-DD,400G,
Line Card,N9K-X9736C-FX3,36p 100G QSFP cloud-scale line card,Nexus 9500,"N9K-C9504, N9K-C9508, N9K-C9516",36 QSFP28,100G,
Line Card,N9K-X9736C-FX,36p 100G QSFP cloud-scale line card,Nexus 9500,"N9K-C9504, N9K-C9508, N9K-C9516",36 QSFP28,100G,
Line Card,N9K-X9732C-FX,32p 100G QSFP cloud-scale line card,Nexus 9500,"N9K-C9504, N9K-C9508, N9K-C9516",32 QSFP28,100G,Supports 4+1 FM redundancy
Line Card,N9K-X97160YC-EX,1/10/25-Gigabit Ethernet Access-Layer and 10/40/100-Gigabit Ethernet Aggregation-Layer Line Card,Nexus 9500,"N9K-C9504, N9K-C9508, N9K-C9516","48 SFP+ , 4 QSFP28","10G, 100G",
Line Card,N9K-X9788TC-FX,1/10 Gigabit Ethernet BaseT Access-Layer and 40/100 Gigabit Ethernet Aggregation-Layer Line Card,Nexus 9500,"N9K-C9504, N9K-C9508, N9K-C9516","48 Copper SFP+ , 4 QSFP28",10G,
Line Card,N9K-X9624D-R2,24-port 400/100 Gigabit Ethernet Quad Small Form-Factor Pluggable Double Density (QSFP-DD) line card,Nexus 9500,N9K-C9508,24 QSFP-DD,400G,
Line Card,N9K-X9636C-RX,36-port 40/100 Gigabit Ethernet QSFP28 line card with additional TCAM,Nexus 9500,"N9K-C9504, N9K-C9508",36 QSFP28,100G,
Line Card,N9K-X9636C-R,36-port 40/100 Gigabit Ethernet QSFP28 line card,Nexus 9500,"N9K-C9504, N9K-C9508",36 QSFP28,100G,
Line Card,N9K-X9636Q-R,36-port 40 Gigabit Ethernet QSFP line card,Nexus 9500,"N9K-C9504, N9K-C9508",36 QSFP,40G,
Line Card,N9K-X96136YC-R,"32-port 1/10/25, 16-port 1/10, and 4-port 40/100 Gigabit Ethernet SFP/QSFP line card with MACsec",Nexus 9500,"N9K-C9504, N9K-C9508","32 SFP28, 16 SFP+, 4 QSFP28","25G, 10G, 100G",
Fabric,N9K-C9504-FM-G,Nexus 9500 4-slot chassis 400G cloud scale fabric module,Nexus 9500,N9K-C9504,,,
Fabric,N9K-C9504-FM-R,"Fabric Module for N9504R with buffer support, NX-OS",Nexus 9500,N9K-C9504,,,
Fabric,N9K-C9504-FM-E,"Fabric Module for N9504 with 100G support, ACI and NX-OS",Nexus 9500,N9K-C9504,,,
Fabric,N9K-C9508-FM-G,Nexus 9500 8-slot chassis 400G cloud scale fabric module,Nexus 9500,N9K-C9508,,,
Fabric,N9K-C9508-FM-E2,"Fabric Module for N9508 with 100G support, ACI and NX-OS",Nexus 9500,N9K-C9508,,,
Fabric,N9K-C9508-FM-R,"Fabric Module for N9508R with buffer support, NX-OS",Nexus 9500,N9K-C9508,,,
Fabric,N9K-C9508-FM-R2,Fabric Module for 400G in N9508R with buffer support,Nexus 9500,N9K-C9508,,,
Fabric,N9K-C9516-FM-E2,"Fabric Module for N9516 with 100G support, ACI and NX-OS",Nexus 9500,N9K-C9516,,,
Supervisor,N9K-SUP-A+,Supervisor for Nexus 9500,Nexus 9500,All,,,
Supervisor,N9K-SUP-B+,Supervisor B+ for Nexus 9500,Nexus 9500,All,,,
Expansion,N9K-X9400-8D,Nexus 9400 8p 400G QSFP-DD LEM Nexus 9400 8p 400G QSFP-DD LEM,Nexus 9400,N9K-C9408,8 QSFP-DD,400G,
Expansion,N9K-X9400-16W,Nexus 9400 16p 200G LEM,Nexus 9400,N9K-C9408,16 QSFP56,200G,
Expansion,N9K-X9400-22L,Nexus 9400 22p 10/25/50G LEM,Nexus 9400,N9K-C9408,22 SFP56,50G,
Extension,DS-X9334-K9,"MDS 9000 Family 24-Port 2/4/8/16G FC, 8-Port 1/10GE FCIP and 2-Port 40GE FCIP Multiservice Module",MDS 9700,"DS-C9706, DS-C9710, DS-C9718","24 FC16G, 8 SFP+, 2 QSFP","16G, 10G, 40G",
Extension,DS-X9648-1536K9,MDS 9700 48-Port 32-Gbps Fibre Channel Switching Module,MDS 9700,"DS-C9706, DS-C9710, DS-C9718",48 FC32G,32G,
Extension,DS-X9748-3072-TK9,MDS 9700 48-port 64-Gbps FC module with 48x 32Gbps SW Optics,MDS 9700,"DS-C9706, DS-C9710, DS-C9718",48 FC64G,64G,
Extension,DS-X9648-1536TLK9,MDS 9700 48-Port 32-Gbps Fibre Channel Switching Module with 48 32G LW optics,MDS 9700,"DS-C9706, DS-C9710, DS-C9718",48 FC32G,32G,
Extension,DS-X9748-3072-VK9,MDS 9700 48-port 64-Gbps FC module with 48x64 Gbps SW Optics,MDS 9700,"DS-C9710, DS-C9718",48 FC64G,64G,
Fabric,DS-X9706-FAB3,MDS 9706 Crossbar Switching Fabric-3 Module MDS 9706 Crossbar Switching Fabric-3 ModuleHide,MDS 9700,DS-C9706,,,
Fabric,DS-X9710-FAB3,MDS 9710 Crossbar Switching Fabric-3 Module MDS 9710 Crossbar Switching Fabric-3 ModuleHide,MDS 9700,DS-C9710,,,
Fabric,DS-X9718-FAB3,MDS 9718 Crossbar Switching Fabric-3 Module,MDS 9700,DS-C9718,,,
