Family,Supertype,Switch Type,Model,Switch Category,Downlink Type,Downlink Port Count,Downlink Port speed,Uplink Port type,Uplink port count,Uplink Speed,Modules supported,Line Cards Supported,PoE type,Unified Architecture,Fans,Stacking,Power supply,Layer3 support,Features,Description,Notes,Datasheet
Meraki,MS130 COMPACT,Rack,MS130-8-HW,Access,Copper,8,1G,Fiber,2,1Gbps,No,,,No,Fanless,No,Fixed,L2 Access,SMB,MS130 COMPACT: 8x 1G Copper downlinks and 2x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130_Datasheet
Meraki,MS130 COMPACT,Rack,MS130-8P-HW,Access,Copper,8,1G,Fiber,2,1Gbps,No,,PoE+,No,Fanless,No,Fixed,L2 Access,"PoE, SMB",MS130 COMPACT: 8x PoE+ 1G Copper downlinks and 2x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130_Datasheet
Meraki,MS130 COMPACT,Rack,MS130-8P-I-HW,Access,Copper,8,1G,Fiber,2,1Gbps,No,,PoE+,No,Fanless,No,Fixed,L2 Access,"PoE, SMB",MS130 COMPACT: 8x PoE+ 1G Copper downlinks and 2x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130_Datasheet
Meraki,MS130 COMPACT,Rack,MS130-8X-HW,Access,Copper,8,2.5G,Fiber,2,10Gbps,No,,,No,Fanless,No,Fixed,L2 Access,"Multigigabit, SMB",MS130 COMPACT: 8x 2.5G Copper downlinks and 2x 10Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130_Datasheet
Meraki,MS130 COMPACT,Rack,MS130-12X-HW,Access,Copper,12,2.5G,Fiber,2,10Gbps,No,,,No,Fanless,No,Fixed,L2 Access,"Multigigabit, SMB",MS130 COMPACT: 12x 2.5G Copper downlinks and 2x 10Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130_Datasheet
Meraki,MS130,Rack,MS130-24-HW,Access,Copper,24,1G,Fiber,4,1Gbps,No,,,No,Fixed,No,Fixed,L2 Access,"Fan, SMB",MS130: 24x 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130_Datasheet
Meraki,MS130,Rack,MS130-24P-HW,Access,Copper,24,1G,Fiber,4,1Gbps,No,,PoE+,No,Fixed,No,Fixed,L2 Access,"PoE, Fan, SMB",MS130: 24x PoE+ 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130_Datasheet
Meraki,MS130,Rack,MS130-24X-HW,Access,Copper,24,2.5G,Fiber,4,10Gbps,No,,,No,Fixed,No,Fixed,L2 Access,"Multigigabit, Fan, SMB",MS130: 24x 2.5G Copper downlinks and 4x 10Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130_Datasheet
Meraki,MS130,Rack,MS130-48-HW,Access,Copper,48,1G,Fiber,4,1Gbps,No,,,No,Fixed,No,Fixed,L2 Access,"Fan, SMB",MS130: 48x 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130_Datasheet
Meraki,MS130,Rack,MS130-48P-HW,Access,Copper,48,1G,Fiber,4,1Gbps,No,,PoE+,No,Fixed,No,Fixed,L2 Access,"PoE, Fan, SMB",MS130: 48x PoE+ 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130_Datasheet
Meraki,MS130,Rack,MS130-48X-HW,Access,Copper,48,2.5G,Fiber,4,10Gbps,No,,,No,Fixed,No,Fixed,L2 Access,"Multigigabit, Fan, SMB",MS130: 48x 2.5G Copper downlinks and 4x 10Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130_Datasheet
Meraki,MS130R,Rugged,MS130R-8P-HW,Access,Copper,8,1G,Fiber,2,1Gbps,No,,PoE+,No,Fanless,No,Fixed,L2 Access,"rugged, PoE, SMB",MS130R: 8x PoE+ 1G Copper downlinks and 2x 1Gbps Fiber uplinks Rugged,"Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!

Power supplies must be ordered separately for this model!
-MA-PWR-300W-INDADP
-PWR-IE240W-PCAC-L=
-PWR-IE480W-PCAC-L=",https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS130R_Datasheet
Meraki,MS150,Rack,MS150-24T-4G,Access,Copper,24,1G,Fiber,4,1Gbps,No,,,No,Fixed,No,Fixed,L2 Access,Fan,MS150: 24x 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Install_and_Get_Started/Installation_Guides/MS150_Series_Installation_Guide
Meraki,MS150,Rack,MS150-24P-4G,Access,Copper,24,1G,Fiber,4,1Gbps,No,,PoE+,No,Fixed,No,Fixed,L2 Access,"PoE, Fan",MS150: 24x PoE+ 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Install_and_Get_Started/Installation_Guides/MS150_Series_Installation_Guide
Meraki,MS150,Rack,MS150-48T-4G,Access,Copper,48,1G,Fiber,4,1Gbps,No,,,No,Fixed,No,Fixed,L2 Access,Fan,MS150: 48x 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Install_and_Get_Started/Installation_Guides/MS150_Series_Installation_Guide
Meraki,MS150,Rack,MS150-48LP-4G,Access,Copper,48,1G,Fiber,4,1Gbps,No,,PoE+,No,Fixed,No,Fixed,L2 Access,"PoE, Fan",MS150: 48x PoE+ 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Install_and_Get_Started/Installation_Guides/MS150_Series_Installation_Guide
Meraki,MS150,Rack,MS150-48FP-4G,Access,Copper,48,1G,Fiber,4,1Gbps,No,,PoE+,No,Fixed,No,Fixed,L2 Access,"PoE, Fan",MS150: 48x PoE+ 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Install_and_Get_Started/Installation_Guides/MS150_Series_Installation_Guide
Meraki,MS150,Rack,MS150-24T-4X,Access,Copper,24,1G,Fiber,4,10Gbps,No,,,No,Fixed,No,Fixed,L2 Access,Fan,MS150: 24x 1G Copper downlinks and 4x 10Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Install_and_Get_Started/Installation_Guides/MS150_Series_Installation_Guide
Meraki,MS150,Rack,MS150-24P-4X,Access,Copper,24,1G,Fiber,4,10Gbps,No,,PoE+,No,Fixed,No,Fixed,L2 Access,"PoE, Fan",MS150: 24x PoE+ 1G Copper downlinks and 4x 10Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Install_and_Get_Started/Installation_Guides/MS150_Series_Installation_Guide
Meraki,MS150,Rack,MS150-48T-4X,Access,Copper,48,1G,Fiber,4,10Gbps,No,,,No,Fixed,No,Fixed,L2 Access,Fan,MS150: 48x 1G Copper downlinks and 4x 10Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Install_and_Get_Started/Installation_Guides/MS150_Series_Installation_Guide
Meraki,MS150,Rack,MS150-48LP-4X,Access,Copper,48,1G,Fiber,4,10Gbps,No,,PoE+,No,Fixed,No,Fixed,L2 Access,"PoE, Fan",MS150: 48x PoE+ 1G Copper downlinks and 4x 10Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Install_and_Get_Started/Installation_Guides/MS150_Series_Installation_Guide
Meraki,MS150,Rack,MS150-48FP-4X,Access,Copper,48,1G,Fiber,4,10Gbps,No,,PoE+,No,Fixed,No,Fixed,L2 Access,"PoE, Fan",MS150: 48x PoE+ 1G Copper downlinks and 4x 10Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Install_and_Get_Started/Installation_Guides/MS150_Series_Installation_Guide
Meraki,MS150,Rack,MS150-24MP-4X,Access,Copper,24,2.5G,Fiber,4,10Gbps,No,,PoE+,No,Fixed,No,Fixed,L2 Access,"PoE, Multigigabit, Fan",MS150: 24x PoE+ 2.5G Copper downlinks and 4x 10Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Install_and_Get_Started/Installation_Guides/MS150_Series_Installation_Guide
Meraki,MS150,Rack,MS150-48MP-4X,Access,Copper,48,2.5G,Fiber,4,10Gbps,No,,PoE+,No,Fixed,No,Fixed,Basic L3,"PoE, Multigigabit, Fan",MS150: 48x PoE+ 2.5G Copper downlinks and 4x 10Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Install_and_Get_Started/Installation_Guides/MS150_Series_Installation_Guide
Meraki,MS210,Rack,MS210-24-HW,Access,Copper,24,1G,Fiber,4,1Gbps,No,,,No,Fixed,Yes,Fixed,Basic L3,"Stacking, Fan",MS210: 24x 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS210_Overview_and_Specifications
Meraki,MS210,Rack,MS210-24P-HW,Access,Copper,24,1G,Fiber,4,1Gbps,No,,PoE+,No,Fixed,Yes,Fixed,Basic L3,"PoE, Stacking, Fan",MS210: 24x PoE+ 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS210_Overview_and_Specifications
Meraki,MS210,Rack,MS210-48-HW,Access,Copper,48,1G,Fiber,4,1Gbps,No,,,No,Fixed,Yes,Fixed,Basic L3,"Stacking, Fan",MS210: 48x 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS210_Overview_and_Specifications
Meraki,MS210,Rack,MS210-48LP-HW,Access,Copper,48,1G,Fiber,4,1Gbps,No,,PoE+,No,Fixed,Yes,Fixed,Basic L3,"PoE, Stacking, Fan",MS210: 48x PoE+ 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS210_Overview_and_Specifications
Meraki,MS210,Rack,MS210-48FP-HW,Access,Copper,48,1G,Fiber,4,1Gbps,No,,PoE+,No,Fixed,Yes,Fixed,Basic L3,"PoE, Stacking, Fan",MS210: 48x PoE+ 1G Copper downlinks and 4x 1Gbps Fiber uplinks,Meraki MS Switches: Add powercord separately (ma-pwr-cord-eu)!,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS210_Overview_and_Specifications
