Antenna Model,Description,Compatible AP,Datasheet,Notes
AIR-ANT2566D4M-R,"4-port, 6 dBi gain, 2.4/5 GHz, RPTNC",CW9179F,https://www.cisco.com/c/en/us/td/docs/wireless/access_point/cw917x/cw9179f/b-hig-cw9179f/overview.html,
AIR-ANT2566D4M-RS,"4-port, 6 dBi gain, 2.4/5 GHz, RPTNC",CW9179F,https://www.cisco.com/c/en/us/td/docs/wireless/access_point/cw917x/cw9179f/b-hig-cw9179f/overview.html,
AIR-ANT2566P4W-R,"4-port, 6 dBi gain, 2.4/5 GHz, RPTNC",CW9179F,https://www.cisco.com/c/en/us/td/docs/wireless/access_point/cw917x/cw9179f/b-hig-cw9179f/overview.html,
AIR-ANT2566P4W-RS,"4-port, 6 dBi gain, 2.4/5 GHz, RPTNC",CW9179F,https://www.cisco.com/c/en/us/td/docs/wireless/access_point/cw917x/cw9179f/b-hig-cw9179f/overview.html,
AIR-ANT2588-P4M-NS,"4-port, 6 dBi gain, 2.4/5 GHz, N-type",CW9179F,https://www.cisco.com/c/en/us/td/docs/wireless/access_point/cw917x/cw9179f/b-hig-cw9179f/overview.html,
CW-ANT-T-D3-N,"4-port, 6 dBi gain, 2.4/5/6 GHz, N-type",CW9179F,https://www.cisco.com/c/en/us/td/docs/wireless/access_point/cw917x/cw9179f/b-hig-cw9179f/overview.html,
CW-ANT-GPS1-M-00,"GNSS dual-band, external, RHCP, 2 dBi",CW9179F,https://www.cisco.com/c/en/us/td/docs/wireless/access_point/cw917x/cw9179f/b-hig-cw9179f/overview.html,
CW-ANT-T-D4-N,"Cisco 8/8/8dBi, 3 band, dir. ant, 8xN-type",CW9177E,https://www.cisco.com/c/en/us/products/collateral/networking/wireless/access-points/wireless-9177-series-access-points-ds.html,
CW-ANT-T-O3-N,"Cisco 5/6/5dBi, 3 band, Omni dir. ant, 8xN-type",CW9177E,https://www.cisco.com/c/en/us/products/collateral/networking/wireless/access-points/wireless-9177-series-access-points-ds.html,
CW-CAB-004-N4-N4,"Dual 4x N-N type ant. cable, M/M, 4 foot",CW9177E,https://www.cisco.com/c/en/us/products/collateral/networking/wireless/access-points/wireless-9177-series-access-points-ds.html,
AIR-ANT2513P4M-NS,"2.4GHz/5GHz 13dBi Patch Antenna 4port, Nconn",CW9177E,https://www.cisco.com/c/en/us/products/collateral/networking/wireless/access-points/wireless-9177-series-access-points-ds.html,
AIR-ANT2588P4M-N,"2.4GHz/5GHz 13dBi Patch Antenna 4port, Nconn",CW9177E,https://www.cisco.com/c/en/us/products/collateral/networking/wireless/access-points/wireless-9177-series-access-points-ds.html,
AIR-ANT2588P4M-NS,Dual Band Dual-polarized directional antenna,CW9177E,https://www.cisco.com/c/en/us/products/collateral/networking/wireless/access-points/wireless-9177-series-access-points-ds.html,
CW-ANT-T-O2-D8,Omnidirectional ceiling mounted antenna with accelerometer and DART8 connector,CW9174E,https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9174-series-access-points-ds.html,
CW-ANT-T-D2-D8,"Directional patch antenna with accelerometer and DART8 connector, CW-MNT-ART2 mount included",CW9174E,https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9174-series-access-points-ds.html,
CW-ANT-T-O4-R,Omnidirectional dipole antenna with RP-TNC connector.,CW9174E,https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9174-series-access-points-ds.html,
AIR-ANT2524V4C-R/RS,Legacy,CW9174E,https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9174-series-access-points-ds.html,Supported existing Cisco antennas. Additional connector adapters may be required.
AIR-ANT2544V4M-R/RS,Legacy,CW9174E,https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9174-series-access-points-ds.html,Supported existing Cisco antennas. Additional connector adapters may be required.
AIR-ANT2566P4W-R/RS,Legacy,CW9174E,https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9174-series-access-points-ds.html,Supported existing Cisco antennas. Additional connector adapters may be required.
