Management,Model,SKU,Domain Code,Device Type,Deployment,Wi-Fi,Radio Config,Spatial Streams,Bands (GHz),Antenna Type,Uplink Speed,Ports,Ports notes,PoE Class,Rugged,Features,Datasheet Link,Lifecycle Status,Notes
Unified,Cisco Wireless 9179F,CW9179F,No,Indoor/Outdoor,Unified (On-Prem/Cloud),7,4x4:4 (4 MU-MIMO radios),16,2.4 / 5 / 6,Internal (optional kit),10G mGig,2,,bt,Yes (with environment kit),"GNSS/GPS, UWB, CleanAir, Security radio",https://www.cisco.com/site/us/en/products/collateral/networking/wireless/access-points/catalyst-9100-series/wireless-9179f-access-point-ds.html,Current,IP65 / IP67 only with Outdoor Environment Pack CW-ACC- 9179-B-00 installed
Unified,Cisco Wireless 9178I ,"CW9178I-CFG, CW9178I-RTG",No,Indoor,Unified (On-Prem/Cloud),7,4x4:4 (4 MU-MIMO radios),16-Dec,2.4 / 5 / 6,Internal (omni),10G mGig,2,,bt,No,"GNSS/GPS, UWB, CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9178-series-access-point-ds.html,Current,
Unified,Cisco Wireless 9177I,"CW9177I-CFG, CW9177I-RTG",No,Outdoor,Unified (On-Prem/Cloud),7,4x4:4 (4 MU-MIMO radios),12,2.4 / 5 / 6,Internal (omni),10G mGig,2,mGig + SFP,bt,No,"GNSS/GPS, UWB, CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/networking/wireless/access-points/wireless-9177-series-access-points-ds.html,Shipping Sep 2026,
Unified,Cisco Wireless 9177D,"CW9177D-CFG, CW9177D-RTG",No,Outdoor,Unified (On-Prem/Cloud),7,4x4:4 (4 MU-MIMO radios),12,2.4 / 5 / 6,Internal (directional),10G mGig,2,mGig + SFP,bt,No,"GNSS/GPS, UWB, CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/networking/wireless/access-points/wireless-9177-series-access-points-ds.html,Shipping Sep 2026,
Unified,Cisco Wireless 9177E,"CW9177E-CFG, CW9177E-RTG",No,Outdoor,Unified (On-Prem/Cloud),7,4x4:4 (4 MU-MIMO radios),12,2.4 / 5 / 6,External,10G mGig,2,mGig + SFP,bt,No,"GNSS/GPS, UWB, CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/networking/wireless/access-points/wireless-9177-series-access-points-ds.html,Shipping Sep 2026,
Unified,Cisco Wireless 9176I ,"CW9176I-CFG, CW9176I-RTG",No,Indoor,Unified (On-Prem/Cloud),7,"4x4:4 (tri-radio, Flexible Radio Assignment)",12,2.4 / 5 / 6,Internal (omni),10G mGig,1,,at/bt,No,"GNSS/GPS, UWB, CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9176-series-acc-point-ds.html,Current,
Unified,Cisco Wireless 9176D1 ,"CW9176D1-CFG, CW9176D1-RTG",No,Indoor,Unified (On-Prem/Cloud),7,"4x4:4 (tri-radio, Flexible Radio Assignment)",12,2.4 / 5 / 6,Internal (directional),10G mGig,1,,at/bt,No,"GNSS/GPS, UWB, CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9176-series-acc-point-ds.html,Current,
Unified,Cisco Wireless 9174I,"CW9174I-CFG, CW9174I-RTG",No,Indoor,Unified (On-Prem/Cloud),7,"4x4:4 (5/6 GHz), 2x2 (2.4 GHz)",10-Aug,2.4 / 5 / 6,Internal (omni),5G mGig,1,,at/bt,No,"CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9174-series-access-points-ds.html,Current,
Unified,Cisco Wireless 9174E,"CW9174E-CFG, CW9174E-RTG",No,Indoor,Unified (On-Prem/Cloud),7,"4x4:4 (5/6 GHz), 2x2 (2.4 GHz)",10-Aug,2.4 / 5 / 6,External,5G mGig,1,,at/bt,No,"CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9174-series-access-points-ds.html,Current,
Unified,Cisco Wireless 9172I,"CW9172I-CFG, CW9172I-RTG",No,Indoor,Unified (On-Prem/Cloud),7,2x2 (Tri-radio),6,2.4 / 5 / 6,Internal (omni),2.5G mGig,1,,at,No,"CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9172-series-access-points-ds.html,Current,
Unified,Cisco Wireless 9172H,"CW9172H-CFG, CW9172H-RTG",No,Indoor (wall-plate),Unified (On-Prem/Cloud),7,2x2 (Tri-radio),6,2.4 / 5 / 6,Internal (wall-plate),2.5G mGig,4,"1 uplink, 3 LAN ports 1Gbps, 1 passthrough port",at,No,"CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9172-series-access-points-ds.html,Current,
Unified,Cisco Wireless 9171I,"CW9171I-CFG, CW9171I-RTG",No,Indoor,Unified (On-Prem/Cloud),7,2x2 (Dual-radio),4,2.4 / 5 / 6,Internal (omni),2.5G mGig,1,,at (af reduced),No,"CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/wireless-9171-series-acc-point-ds.html,Current,
Unified,Catalyst 9166I,"CW9166I, CW9166I-MR",No,Indoor,Unified (On-Prem/Cloud),6E,"4x4 (Tri-radio), XOR dual",12,2.4 / 5 / 6,Internal (omni),5G mGig,1,,at/bt,No,"CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9166-series-access-points/catalyst-9166-series-access-points-ds.html,Current,
Unified,Catalyst 9166D1,"CW9166D1, CW9166D1-MR",No,Indoor,Unified (On-Prem/Cloud),6E,4x4 (Tri-radio),12,2.4 / 5 / 6,Internal (directional),5G mGig,1,,at/bt,No,"CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9166-series-access-points/catalyst-9166-series-access-points-ds.html,Current,
Unified,Catalyst 9164I,"CW9164I, CW9164I-MR",Yes,Indoor,Unified (On-Prem/Cloud),6E,"4x4 (5/6 GHz), 2x2 (2.4 GHz)",10,2.4 / 5 / 6,Internal (omni),2.5G mGig,1,,at,No,"CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9164-series-access-points/catalyst-9164-series-access-points-ds.html,Current,
Unified,Catalyst 9162I,"CW9162I, CW9162I-MR",Yes,Indoor,Unified (On-Prem/Cloud),6E,2x2 (2.4 / 5 / 6 GHz),6,2.4 / 5 / 6,Internal (omni),2.5G mGig,1,,at (af reduced),No,"CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/cat-9162-series-access-points-ds.html,Current,
Unified,Catalyst 9163E,"CW9163E, CW9163E-MR",Yes,Outdoor,Unified (On-Prem/Cloud),6E,2x2 (2.4 / 5 / 6 GHz),6,2.4 / 5 / 6,External,2.5G mGig,1,,at/bt,Yes (base / outdoor IP-rated),"CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9163e-access-point/nb-06-cat-9163e-series-access-ds-cte-en.html,Current,
Catalyst,Catalyst 9136I,C9136I,Yes,Indoor,On-Prem (Catalyst),6E,"8x8 + 4x4 (5 GHz), 4x4 (2.4 / 6 GHz)",16,2.4 / 5 / 6,Internal (omni),5G mGig,2,,bt,No,"CleanAir, Security radio",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9100ax-access-points/nb-06-cat9136-access-point-ds-cte-en.html,Current,
